Comment,Designator,Footprint,LCSC
boot,SW1,SW_Push_SPST_NO_Alps_SKRK,C561519
1k,R8,R_0402_1005Metric,C11702
100nF,"C1,C10,C11,C12,C13,C14,C15,C5,C6,C9",C_0402_1005Metric,C1525
10uF,C7,C_0402_1005Metric,C15525
22pF,"C2,C3",C_0402_1005Metric,C1555
USB_C_Receptacle_USB2.0,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
RP2040,U1,RP2040-QFN-56,C2040
27R,"R1,R2",R_0603_1608Metric,C25190
1k,R4,R_0402_1005Metric,C25543
5k1,"R5,R6,R7",R_0402_1005Metric,C25905
USBLC6-2SC6,U2,SOT-23-6,C2827654
W25Q16JVUXIQ,IC1,SON50P300X200X60-9N,C2843335
1uF,"C16,C17,C4,C8",C_0402_1005Metric,C52923
XC6206PxxxMR-Regulator_Linear,U3,SOT-23,C5446
Reset,SWR1,SW_Push_SPST_NO_Alps_SKRK,C561519
500mA,F1,Fuse_1206_3216Metric,C70076
D_Small,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D4,D5,D6,D7,D8,D9",D_SOD-123F,C81598
12MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
