Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,50.883517,-57.217567,90.0,bottom
C10,100nF,C_0402_1005Metric,45.06375,-62.1125,0.0,bottom
C11,100nF,C_0402_1005Metric,48.802267,-57.217567,90.0,bottom
C12,100nF,C_0402_1005Metric,55.57375,-61.75625,180.0,bottom
C13,100nF,C_0402_1005Metric,55.09375,-66.99875,270.0,bottom
C14,100nF,C_0402_1005Metric,50.00625,-71.75125,270.0,bottom
C15,100nF,C_0402_1005Metric,45.886102,-67.028553,270.0,bottom
C16,1uF,C_0402_1005Metric,43.693148,-38.23,0.0,bottom
C17,1uF,C_0402_1005Metric,43.733148,-44.79375,0.0,bottom
C2,22pF,C_0402_1005Metric,53.66125,-70.64375,0.0,bottom
C3,22pF,C_0402_1005Metric,50.012825,-73.701813,90.0,bottom
C4,1uF,C_0402_1005Metric,46.63125,-59.406377,90.0,bottom
C5,100nF,C_0402_1005Metric,49.896017,-57.217567,90.0,bottom
C6,100nF,C_0402_1005Metric,49.029388,-71.756248,270.0,bottom
C7,10uF,C_0402_1005Metric,43.733148,-43.8,180.0,bottom
C8,1uF,C_0402_1005Metric,45.601463,-59.391121,90.0,bottom
C9,100nF,C_0402_1005Metric,45.06375,-61.11875,0.0,bottom
D1,D_Small,D_SOD-123F,38.89375,-34.925,90.0,bottom
D10,D_Small,D_SOD-123F,215.10625,-34.925,90.0,bottom
D11,D_Small,D_SOD-123F,38.89375,-53.975,90.0,bottom
D12,D_Small,D_SOD-123F,62.70625,-53.975,90.0,bottom
D13,D_Small,D_SOD-123F,81.75625,-53.975,90.0,bottom
D14,D_Small,D_SOD-123F,100.80625,-53.975,90.0,bottom
D15,D_Small,D_SOD-123F,119.85625,-53.975,90.0,bottom
D16,D_Small,D_SOD-123F,138.90625,-53.975,90.0,bottom
D17,D_Small,D_SOD-123F,157.95625,-53.975,90.0,bottom
D18,D_Small,D_SOD-123F,177.00625,-53.975,90.0,bottom
D19,D_Small,D_SOD-123F,196.05625,-53.975,90.0,bottom
D2,D_Small,D_SOD-123F,62.70625,-34.925,90.0,bottom
D20,D_Small,D_SOD-123F,215.10625,-53.975,90.0,bottom
D21,D_Small,D_SOD-123F,43.65625,-73.025,90.0,bottom
D22,D_Small,D_SOD-123F,72.23125,-73.025,90.0,bottom
D23,D_Small,D_SOD-123F,91.28125,-73.025,90.0,bottom
D24,D_Small,D_SOD-123F,110.33125,-73.025,90.0,bottom
D25,D_Small,D_SOD-123F,129.38125,-73.025,90.0,bottom
D26,D_Small,D_SOD-123F,148.43125,-73.025,90.0,bottom
D27,D_Small,D_SOD-123F,167.48125,-73.025,90.0,bottom
D28,D_Small,D_SOD-123F,186.53125,-73.025,90.0,bottom
D29,D_Small,D_SOD-123F,210.34375,-73.025,90.0,bottom
D3,D_Small,D_SOD-123F,81.75625,-34.925,90.0,bottom
D30,D_Small,D_SOD-123F,43.65625,-92.075,90.0,bottom
D31,D_Small,D_SOD-123F,62.70625,-92.075,90.0,bottom
D32,D_Small,D_SOD-123F,84.1375,-92.075,90.0,bottom
D33,D_Small,D_SOD-123F,112.7125,-92.075,90.0,bottom
D34,D_Small,D_SOD-123F,129.38125,-92.075,90.0,bottom
D35,D_Small,D_SOD-123F,157.95625,-92.075,90.0,bottom
D36,D_Small,D_SOD-123F,177.00625,-92.075,90.0,bottom
D37,D_Small,D_SOD-123F,196.05625,-92.075,90.0,bottom
D38,D_Small,D_SOD-123F,215.10625,-92.075,90.0,bottom
D4,D_Small,D_SOD-123F,100.80625,-34.925,90.0,bottom
D5,D_Small,D_SOD-123F,119.85625,-34.925,90.0,bottom
D6,D_Small,D_SOD-123F,138.90625,-34.925,90.0,bottom
D7,D_Small,D_SOD-123F,157.95625,-34.925,90.0,bottom
D8,D_Small,D_SOD-123F,177.00625,-34.925,90.0,bottom
D9,D_Small,D_SOD-123F,196.05625,-34.925,90.0,bottom
F1,500mA,Fuse_1206_3216Metric,43.45625,-34.925,270.0,bottom
IC1,W25Q16JVUXIQ,SON50P300X200X60-9N,53.74905,-58.933005,0.0,bottom
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,41.518772,-24.74001,180.0,bottom
R1,27R,R_0603_1608Metric,47.326897,-53.975,270.0,bottom
R2,27R,R_0603_1608Metric,45.628666,-53.975,270.0,bottom
R4,1k,R_0402_1005Metric,57.15,-58.58125,90.0,bottom
R5,5k1,R_0402_1005Metric,42.06875,-30.879969,270.0,bottom
R6,5k1,R_0402_1005Metric,47.625,-30.95625,270.0,bottom
R7,5.1k,R_0402_1005Metric,41.877616,-59.51664,270.0,bottom
R8,1k,R_0402_1005Metric,51.571971,-70.619092,0.0,bottom
SW1,boot,SW_Push_SPST_NO_Alps_SKRK,61.11875,-59.53125,0.0,bottom
SWR1,Reset,SW_Push_SPST_NO_Alps_SKRK,38.1,-59.53125,180.0,bottom
U1,RP2040,RP2040-QFN-56,50.4875,-65.0875,0.0,bottom
U2,USBLC6-2SC6,SOT-23-6,46.309448,-34.925,90.0,bottom
U3,XC6206PxxxMR-Regulator_Linear,SOT-23,43.889398,-41.275,90.0,bottom
Y1,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,52.701882,-72.901712,180.0,bottom
